CMDLINE C:\Users\guill\Documents\gravity_sim\env\python.exe src/ui/main.py
MEM 2.230469 1697077066.0217
MEM 24.054688 1697077066.1223
MEM 55.468750 1697077066.2228
MEM 72.250000 1697077066.3233
MEM 215.007812 1697077066.4238
MEM 252.179688 1697077066.5244
MEM 124.722656 1697077066.6249
MEM 140.816406 1697077066.7254
MEM 154.773438 1697077066.8259
MEM 162.093750 1697077066.9265
MEM 169.324219 1697077067.0270
MEM 176.664062 1697077067.1275
MEM 183.812500 1697077067.2280
MEM 215.449219 1697077067.3286
MEM 215.550781 1697077067.4291
MEM 215.656250 1697077067.5296
MEM 217.675781 1697077067.6302
MEM 217.703125 1697077067.7305
MEM 217.718750 1697077067.8310
MEM 217.750000 1697077067.9314
MEM 217.761719 1697077068.0315
MEM 217.777344 1697077068.1318
MEM 217.789062 1697077068.2319
MEM 250.847656 1697077068.3325
MEM 250.894531 1697077068.4330
MEM 250.964844 1697077068.5336
MEM 251.042969 1697077068.6341
MEM 248.601562 1697077068.7346
MEM 251.085938 1697077068.8351
MEM 251.128906 1697077068.9357
MEM 251.128906 1697077069.0362
MEM 251.128906 1697077069.1367
MEM 251.128906 1697077069.2372
MEM 253.167969 1697077069.3378
MEM 258.835938 1697077069.4381
MEM 227.453125 1697077069.5386
MEM 239.601562 1697077069.6391
MEM 234.718750 1697077069.7394
MEM 245.585938 1697077069.8396
MEM 241.703125 1697077069.9402
MEM 244.437500 1697077070.0406
MEM 248.132812 1697077070.1408
MEM 252.531250 1697077070.2412
MEM 255.359375 1697077070.3417
MEM 260.000000 1697077070.4421
MEM 262.492188 1697077070.5426
MEM 266.414062 1697077070.6428
MEM 268.859375 1697077070.7432
MEM 273.363281 1697077070.8437
MEM 276.316406 1697077070.9442
MEM 280.203125 1697077071.0446
MEM 284.152344 1697077071.1451
MEM 287.953125 1697077071.2457
MEM 290.429688 1697077071.3459
MEM 295.144531 1697077071.4461
MEM 298.750000 1697077071.5466
MEM 302.316406 1697077071.6467
MEM 305.117188 1697077071.7472
MEM 304.558594 1697077071.8477
MEM 312.824219 1697077071.9482
MEM 315.820312 1697077072.0488
MEM 319.433594 1697077072.1492
MEM 324.562500 1697077072.2493
MEM 327.468750 1697077072.3496
MEM 331.128906 1697077072.4498
MEM 342.640625 1697077072.5502
MEM 339.253906 1697077072.6507
